productid,product,cost,in_stock,item_category,date,items_sold
1,Coconut Curry Sauce,3.89,13,Food - Sauces,1/11/2025,1597
2,Coconut Yogurt,3.89,24,Food - Dairy Alternatives,1/10/2025,553
3,Thyme,2.49,266,Food - Fresh Produce,8/27/2025,270
4,Blue Corn Tortilla Chips,3.49,7,Food - Snacks,6/4/2025,80
5,Vegan chocolate chip cookies,4.79,416,Food - Bakery,7/9/2025,374
6,Knitted Infinity Scarf,29.99,115,Clothing - Accessories,12/6/2025,778
7,Fitness Jump Rope with LCD Counter,15.99,,Fitness,10/10/2025,51
8,Multi-Tool,39.99,703,Outdoor,3/15/2025,8
9,Self-Cleaning Water Bottle,49.99,923,Fitness,10/29/2025,9
10,Marinated Artichokes,3.79,5587,Food - Vegetables,11/27/2025,0
11,Sriracha Hot Chili Sauce,2.99,85,Food - Condiments,2/15/2025,126
12,Chicken Broth,2.49,660,Food - Canned Goods,11/21/2025,6736
13,Ramen Noodle Soup Cups,1.29,2940,Food - Prepared Meals,2/25/2025,33
14,Insulated Sport Tumbler,22.99,260,Fitness,11/11/2025,
15,Solar Charger,39.99,745,Electronics,9/7/2025,40
16,Chocolate Fudge Brownie Mix,2.99,5741,Food - Baking,8/31/2025,15
17,Wrist Support Brace,19.99,1646,Health,2/10/2025,69
18,Kale Salad Kit,4.99,107,Food - Salads,3/4/2025,443
19,Self-Watering Planter,24.99,,Garden,2/24/2025,
20,Apple Pie Filling,3.49,66,Food - Canned Goods,5/2/2025,1686
21,Frozen Broccoli,2.49,674,Food - Frozen,7/31/2025,378
22,Canvas High-Top Sneakers,49.99,50,Clothing - Footwear,8/28/2025,1057
23,Active Racerback Tank,24.99,311,Clothing - Tops,12/15/2025,604
24,Balsamic Vinaigrette,2.69,2126,Food - Dressings,4/22/2025,280
25,Turmeric Ginger Tea,3.29,135,Food - Beverages,10/31/2025,2927
26,Stainless Steel Cutlery Set,29.99,38,Kitchen,9/17/2025,639
27,Collapsible Storage Crates,18.99,1314,Home,7/25/2025,961
28,Children's Educational Workbook,12.99,364,Books,8/11/2025,798
29,Vegetable Samosas,4.99,7130,Food - Frozen,8/14/2025,656
30,Vegan Tacos,7.49,128,Food - Frozen Foods,6/30/2025,726
31,Electric Griddle with Removable Plates,59.99,138,Kitchen,1/21/2025,95
32,Mini Hand Gesture Drone,29.99,2661,Toys,12/22/2024,13
33,Egg Noodles,2.29,909,Food - Grains,11/1/2025,
34,Portable Solar Generator,399.99,30,Outdoor,9/10/2025,76
35,Tortilla Chips,2.99,54,Food - Snacks,3/28/2025,499
36,Wireless Charging Station,39.99,8,Electronics,8/23/2025,50
37,Magic Color-Changing Mug,14.99,4735,Kitchen,6/6/2025,1367
38,Dark Chocolate Bars,2.99,3734,Food - Snacks,10/23/2025,121
39,Portable Charcoal Grill,89.99,3263,Outdoor,6/26/2025,1572
40,Black Olives,1.99,3290,Food - Canned Goods,11/29/2025,305
41,Bock Beer Mustard,2.29,2021,Food - Condiments,1/26/2025,12
42,Yoga Mat Carrier,12.99,1907,Fitness,6/19/2025,713
43,Ranch Dressing,2.59,435,Food - Condiments,1/21/2025,5127
44,Winter Knit Beanie,14.99,7332,Clothing,4/8/2025,187
45,Herbal Tea Set,19.99,100,Food,4/12/2025,
46,Hot Salsa,2.29,1182,Food - Dips,8/16/2025,0
47,Sweet Potato Tots,4.29,2797,Food - Frozen Foods,10/14/2025,606
48,Vegetable Spring Rolls,6.49,164,Food - Frozen Foods,3/16/2025,3000
49,Portable Electric Fan,24.99,1646,Home,4/23/2025,15
50,Oats,3.29,,Food - Grains,2/12/2025,1543
51,Coffee Grinder,39.99,305,Kitchen,10/8/2025,0
52,Garlic Parmesan Wings,8.99,825,Food - Frozen Foods,3/17/2025,80
53,Vegetarian Stuffed Peppers,4.99,,Food - Prepared Foods,2/12/2025,167
54,Pepper Jack Cheese Slices,3.49,353,Food - Dairy,5/29/2025,18
55,Magnetic Chess Set,19.99,374,Toys,4/23/2025,226
56,Wall Planner,19.99,9,Office,8/14/2025,298
57,DIY Candle Making Kit,22.99,6,Crafts,10/19/2025,2271
