product_id,product_name,price,stock,category,date,review_text,sentiment_score,sentiment_label
1,Coconut Curry Sauce,3.89,13,Food - Sauces,01-11-2025,i was disappointed with the pasta. it tasted terrible.,-0.7351,Negative
2,Coconut Yogurt,3.89,24,Food - Dairy Alternatives,01-10-2025,the soup was perfect and the service was polite. highly recommend!,0.7773,Positive
3,Thyme,2.49,266,Food - Fresh Produce,8/27/2025,worst experience ever. the waiter was forgetful and the tacos was stale.,-0.7351,Negative
4,Blue Corn Tortilla Chips,3.49,7,Food - Snacks,06-04-2025,absolutely loved it! the salad was fresh.,0.7773,Positive
5,Vegan chocolate chip cookies,4.79,416,Food - Bakery,07-09-2025,"service was polite, but the food took too long to arrive.",0.0,Neutral
6,Knitted Infinity Scarf,29.99,115,Clothing - Accessories,12-06-2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
7,Fitness Jump Rope with LCD Counter,15.99,0,Fitness,10-10-2025,i was disappointed with the steak. it tasted cold.,-0.4767,Negative
8,Multi-Tool,39.99,703,Outdoor,3/15/2025,the curry was fresh and the service was quick. highly recommend!,0.6581,Positive
9,Self-Cleaning Water Bottle,49.99,923,Fitness,10/29/2025,"i found the cake to be salty, but my partner liked theirs.",0.5719,Positive
10,Marinated Artichokes,3.79,5587,Food - Vegetables,11/27/2025,quick delivery and the sandwich was still hot and fantastic.,0.5574,Positive
11,Sriracha Hot Chili Sauce,2.99,85,Food - Condiments,2/15/2025,"great atmosphere, but the fries was just okay.",0.5994,Positive
12,Chicken Broth,2.49,660,Food - Canned Goods,11/21/2025,"the staff was forgetful, but the coffee was surprisingly amazing.",0.8151,Positive
13,Ramen Noodle Soup Cups,1.29,2940,Food - Prepared Meals,2/25/2025,"everything was excellent, from the burger to the drinks.",0.5719,Positive
14,Insulated Sport Tumbler,22.99,260,Fitness,11-11-2025,"great atmosphere, but the burger was just okay.",0.5994,Positive
15,Solar Charger,39.99,745,Electronics,09-07-2025,"i found the fries to be salty, but my partner liked theirs.",0.5719,Positive
16,Chocolate Fudge Brownie Mix,2.99,5741,Food - Baking,8/31/2025,absolutely loved it! the coffee was fresh.,0.7773,Positive
17,Wrist Support Brace,19.99,1646,Health,02-10-2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
18,Kale Salad Kit,4.99,107,Food - Salads,03-04-2025,"i found the pizza to be salty, but my partner liked theirs.",0.5719,Positive
19,Self-Watering Planter,24.99,0,Garden,2/24/2025,i was disappointed with the burger. it tasted undercooked.,-0.4767,Negative
20,Apple Pie Filling,3.49,66,Food - Canned Goods,05-02-2025,worst experience ever. the waiter was slow and the steak was salty.,-0.6249,Negative
21,Frozen Broccoli,2.49,674,Food - Frozen,7/31/2025,don't waste your money. the cake is bland and small portions.,0.3252,Positive
22,Canvas High-Top Sneakers,49.99,50,Clothing - Footwear,8/28/2025,"the staff was forgetful, but the tacos was surprisingly mouth-watering.",0.3071,Positive
23,Active Racerback Tank,24.99,311,Clothing - Tops,12/15/2025,quick delivery and the tacos was still hot and amazing.,0.5859,Positive
24,Balsamic Vinaigrette,2.69,2126,Food - Dressings,4/22/2025,worst experience ever. the waiter was inattentive and the pasta was undercooked.,-0.6249,Negative
25,Turmeric Ginger Tea,3.29,135,Food - Beverages,10/31/2025,worst experience ever. the waiter was inattentive and the tacos was overpriced.,-0.6249,Negative
26,Stainless Steel Cutlery Set,29.99,38,Kitchen,9/17/2025,absolutely loved it! the cake was delicious.,0.8475,Positive
27,Collapsible Storage Crates,18.99,1314,Home,7/25/2025,worst experience ever. the waiter was unprofessional and the cake was cold.,-0.8126,Negative
28,Children's Educational Workbook,12.99,364,Books,08-11-2025,"everything was perfect, from the tacos to the drinks.",0.5719,Positive
29,Vegetable Samosas,4.99,7130,Food - Frozen,8/14/2025,don't waste your money. the cake is cold and small portions.,0.3252,Positive
30,Vegan Tacos,7.49,128,Food - Frozen Foods,6/30/2025,absolutely loved it! the sandwich was fresh.,0.7773,Positive
31,Electric Griddle with Removable Plates,59.99,138,Kitchen,1/21/2025,worst experience ever. the waiter was unprofessional and the steak was disappointing.,-0.891,Negative
32,Mini Hand Gesture Drone,29.99,2661,Toys,12/22/2024,"i found the cake to be stale, but my partner liked theirs.",0.5719,Positive
33,Egg Noodles,2.29,909,Food - Grains,11-01-2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
34,Portable Solar Generator,399.99,30,Outdoor,09-10-2025,i was disappointed with the curry. it tasted stale.,-0.4767,Negative
35,Tortilla Chips,2.99,54,Food - Snacks,3/28/2025,"service was quick, but the food took too long to arrive.",0.0,Neutral
36,Wireless Charging Station,39.99,8,Electronics,8/23/2025,"great atmosphere, but the soup was just okay.",0.5994,Positive
37,Magic Color-Changing Mug,14.99,4735,Kitchen,06-06-2025,"everything was perfect, from the burger to the drinks.",0.5719,Positive
38,Dark Chocolate Bars,2.99,3734,Food - Snacks,10/23/2025,don't waste your money. the coffee is stale and small portions.,0.3252,Positive
39,Portable Charcoal Grill,89.99,3263,Outdoor,6/26/2025,the fries was fresh and the service was friendly. highly recommend!,0.8217,Positive
40,Black Olives,1.99,3290,Food - Canned Goods,11/29/2025,quick delivery and the tacos was still hot and mouth-watering.,0.0,Neutral
41,Bock Beer Mustard,2.29,2021,Food - Condiments,1/26/2025,"great atmosphere, but the burger was just okay.",0.5994,Positive
42,Yoga Mat Carrier,12.99,1907,Fitness,6/19/2025,the sandwich was amazing and the service was attentive. highly recommend!,0.7836,Positive
43,Ranch Dressing,2.59,435,Food - Condiments,1/21/2025,"great atmosphere, but the salad was just okay.",0.5994,Positive
44,Winter Knit Beanie,14.99,7332,Clothing,04-08-2025,"the staff was slow, but the coffee was surprisingly amazing.",0.8402,Positive
45,Herbal Tea Set,19.99,100,Food,04-12-2025,absolutely loved it! the pizza was flavorful.,0.6689,Positive
46,Hot Salsa,2.29,1182,Food - Dips,8/16/2025,i was disappointed with the ramen. it tasted stale.,-0.4767,Negative
47,Sweet Potato Tots,4.29,2797,Food - Frozen Foods,10/14/2025,"everything was fantastic, from the tacos to the drinks.",0.5574,Positive
48,Vegetable Spring Rolls,6.49,164,Food - Frozen Foods,3/16/2025,absolutely loved it! the burger was delicious.,0.8475,Positive
49,Portable Electric Fan,24.99,1646,Home,4/23/2025,"great atmosphere, but the ramen was just okay.",0.5994,Positive
50,Oats,3.29,0,Food - Grains,02-12-2025,absolutely loved it! the coffee was flavorful.,0.6689,Positive
51,Coffee Grinder,39.99,305,Kitchen,10-08-2025,absolutely loved it! the coffee was amazing.,0.8513,Positive
52,Garlic Parmesan Wings,8.99,825,Food - Frozen Foods,3/17/2025,"service was quick, but the food took too long to arrive.",0.0,Neutral
53,Vegetarian Stuffed Peppers,4.99,0,Food - Prepared Foods,02-12-2025,"service was polite, but the food took too long to arrive.",0.0,Neutral
54,Pepper Jack Cheese Slices,3.49,353,Food - Dairy,5/29/2025,absolutely loved it! the tacos was delicious.,0.8475,Positive
55,Magnetic Chess Set,19.99,374,Toys,4/23/2025,"everything was mouth-watering, from the salad to the drinks.",0.0,Neutral
56,Wall Planner,19.99,9,Office,8/14/2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
57,DIY Candle Making Kit,22.99,6,Crafts,10/19/2025,worst experience ever. the waiter was unprofessional and the pasta was terrible.,-0.8885,Negative
58,Faux Leather Leggings,49.99,164,Clothing - Pants,05-11-2025,i was disappointed with the tacos. it tasted salty.,-0.4767,Negative
59,Lemon Herb Quinoa,3.49,927,Food - Grains,02-01-2025,quick delivery and the coffee was still hot and flavorful.,0.0,Neutral
60,Mini Air Purifier,49.99,694,Health,12/21/2024,the burger was amazing and the service was welcoming. highly recommend!,0.8685,Positive
61,Peach Salsa,3.29,1430,Food - Dips,9/26/2025,quick delivery and the tacos was still hot and perfect.,0.5719,Positive
62,Oven Mitts,15.99,76,Kitchen,4/25/2025,"the staff was rude, but the cake was surprisingly mouth-watering.",0.2023,Positive
63,Hair Dryer,39.99,597,Beauty,7/26/2025,"great atmosphere, but the sandwich was just okay.",0.5994,Positive
64,Almond Butter Cups,3.29,26,Food - Snacks,02-11-2025,"i found the curry to be greasy, but my partner liked theirs.",0.5719,Positive
65,Tomatillo Salsa,3.29,160,Food - Condiments,12/21/2024,"service was friendly, but the food took too long to arrive.",0.2732,Positive
66,Garlic Butter Sauce,3.59,670,Food - Condiments,02-11-2025,don't waste your money. the ramen is cold and small portions.,0.3252,Positive
67,Non-Stick Crepe Pan,29.99,118,Kitchen,03-06-2025,don't waste your money. the coffee is stale and small portions.,0.3252,Positive
68,Gardening Fairy Figurines,14.99,1587,Garden,04-03-2025,"i found the tacos to be disappointing, but my partner liked theirs.",0.3818,Positive
69,Orange Ginger Vinaigrette,3.99,770,Food - Condiments,08-08-2025,"the staff was forgetful, but the ramen was surprisingly excellent.",0.8074,Positive
70,Italian Meatballs,8.49,12,Food - Meat,7/19/2025,"the staff was forgetful, but the coffee was surprisingly amazing.",0.8151,Positive
71,Magnetic Phone Car Mount,14.99,3,Automotive,04-05-2025,"great atmosphere, but the sandwich was just okay.",0.5994,Positive
72,Handheld Vacuum,79.99,220,Home Appliances,04-08-2025,a hidden gem! best ramen i have had in a long time.,0.6696,Positive
73,Teriyaki Sauce,2.99,1010,Food - Condiments,01-12-2025,a hidden gem! best fries i have had in a long time.,0.6696,Positive
74,Handheld Shower Head,34.99,2223,Bathroom,10/18/2025,i was disappointed with the soup. it tasted bland.,-0.4767,Negative
75,Chocolate Protein Powder,24.99,347,Food - Supplements,11/17/2025,"i found the burger to be salty, but my partner liked theirs.",0.5719,Positive
76,Low-Fat Yogurt,3.29,1477,Food - Dairy,09-02-2025,"the staff was slow, but the salad was surprisingly mouth-watering.",0.4215,Positive
77,Maple Syrup,6.99,0,Food - Condiments,03-05-2025,"everything was mouth-watering, from the burger to the drinks.",0.0,Neutral
78,Pet Travel Bowl,10.99,3707,Pets,11/18/2025,"i found the soup to be salty, but my partner liked theirs.",0.5719,Positive
79,Sweet Potato Chips,2.99,4452,Food - Snacks,1/28/2025,worst experience ever. the waiter was unprofessional and the soup was terrible.,-0.8885,Negative
80,Mesh Sports Leggings,39.99,104,Clothing - Activewear,5/20/2025,"everything was delicious, from the tacos to the drinks.",0.5719,Positive
81,Luxury Bath Robe,49.99,75,Clothing,10-12-2025,"everything was excellent, from the coffee to the drinks.",0.5719,Positive
82,Spiralizer,22.99,170,Kitchen,11/22/2025,worst experience ever. the waiter was forgetful and the fries was bland.,-0.7351,Negative
83,Fettuccine Alfredo Dinner Kit,5.49,117,Food - Prepared Meals,08-05-2025,"great atmosphere, but the soup was just okay.",0.5994,Positive
84,Over-Ear Headphones,59.99,0,Audio,01-10-2025,"everything was delicious, from the salad to the drinks.",0.5719,Positive
85,Stick Vacuums Cleaner,129.99,1301,Home Appliances,8/17/2025,"great atmosphere, but the ramen was just okay.",0.5994,Positive
86,Chickpea Salad Deluxe,4.29,760,Food - Produce,8/20/2025,quick delivery and the sushi was still hot and fantastic.,0.5574,Positive
87,Insulated Wine Tote,24.99,59,Accessories,4/19/2025,"great atmosphere, but the burger was just okay.",0.5994,Positive
88,Cranberry Lime Sparkling Water,1.5,2317,Food - Beverages,1/19/2025,"i found the soup to be disappointing, but my partner liked theirs.",0.3818,Positive
89,Low-Fat Cottage Cheese,2.99,1213,Food - Dairy,2/20/2025,the coffee was mouth-watering and the service was attentive. highly recommend!,0.474,Positive
90,Roasted Vegetable Medley,3.99,1476,Food - Frozen Foods,9/27/2025,don't waste your money. the tacos is cold and small portions.,0.3252,Positive
91,Mushroom Soup (canned),2.49,325,Food - Canned Goods,7/27/2025,"i found the fries to be terrible, but my partner liked theirs.",0.3919,Positive
92,Electric Air Pump,29.99,505,Outdoor,7/23/2025,"service was quick, but the food took too long to arrive.",0.0,Neutral
93,Mango Chilli Sauce,3.99,1063,Food - Condiments,12-08-2025,"i found the ramen to be overpriced, but my partner liked theirs.",0.5719,Positive
94,Portable Water Filter,29.99,43,Outdoor,7/25/2025,a hidden gem! best fries i have had in a long time.,0.6696,Positive
95,Luxury Rolling Makeup Case,99.99,30,Beauty,12/17/2024,quick delivery and the cake was still hot and perfect.,0.5719,Positive
96,Baked Mac and Cheese,5.99,112,Food - Frozen Foods,12-09-2025,worst experience ever. the waiter was slow and the steak was overpriced.,-0.6249,Negative
97,Dark Chocolate Covered Almonds,7.19,1670,Food - Snacks,10-12-2025,"the staff was slow, but the salad was surprisingly mouth-watering.",0.4215,Positive
98,Fitness Jump Rope with LCD Counter,15.99,633,Fitness,3/25/2025,don't waste your money. the cake is greasy and small portions.,0.3252,Positive
99,Wrist Support Brace,19.99,256,Health,10/21/2025,"service was quick, but the food took too long to arrive.",0.0,Neutral
100,Organic Black Rice,3.59,6070,Food - Grains,06-10-2025,"the staff was inattentive, but the salad was surprisingly delicious.",0.8338,Positive
101,Peanut Butter Protein Balls,5.29,3318,Food - Snacks,03-01-2025,"great atmosphere, but the steak was just okay.",0.5994,Positive
102,Body Pillow Case,14.99,669,Home,12/24/2024,a hidden gem! best fries i have had in a long time.,0.6696,Positive
103,Dishwasher Safe Cutting Board,22.99,784,Kitchen,11/18/2025,worst experience ever. the waiter was slow and the pasta was bland.,-0.6249,Negative
104,Bluetooth Sleep Headphones,29.99,50,Audio,2/21/2025,"everything was amazing, from the coffee to the drinks.",0.5859,Positive
105,Cacao Nibs,6.49,870,Food - Baking,5/28/2025,don't waste your money. the ramen is cold and small portions.,0.3252,Positive
106,Ice Cream Scoop,12.99,570,Kitchen,11/25/2025,"great atmosphere, but the pizza was just okay.",0.5994,Positive
107,Children's Educational Puzzle,19.99,52,Toys,02-01-2025,a hidden gem! best fries i have had in a long time.,0.6696,Positive
108,Sweet Potato Tots,4.29,2096,Food - Frozen Foods,8/29/2025,"i found the steak to be greasy, but my partner liked theirs.",0.5719,Positive
109,Digital Food Scale,22.99,69,Kitchen,04-11-2025,"i found the salad to be disappointing, but my partner liked theirs.",0.3818,Positive
110,Bamboo Utensil Set,14.99,3206,Kitchen,8/20/2025,"i found the tacos to be bland, but my partner liked theirs.",0.5719,Positive
111,Multicolored LED Strip Lights,29.99,726,Home,12-10-2025,"everything was fresh, from the pasta to the drinks.",0.3182,Positive
112,Almond Flour Brownies,5.99,5507,Food - Baking,08-01-2025,absolutely loved it! the tacos was flavorful.,0.6689,Positive
113,Basil-infused Olive Oil,6.99,31,Food - Cooking Oil,11/28/2025,"everything was flavorful, from the soup to the drinks.",0.0,Neutral
114,Cordless Electric Screwdriver,39.99,49,Tools,05-06-2025,"great atmosphere, but the fries was just okay.",0.5994,Positive
115,Infrared Thermometer Gun,29.99,16,Health,2/26/2025,quick delivery and the steak was still hot and perfect.,0.5719,Positive
116,Fried Rice,4.29,584,Food - Frozen Foods,11-02-2025,"i found the pasta to be stale, but my partner liked theirs.",0.5719,Positive
117,Peach Mango Smoothie,3.49,1592,Food - Beverages,1/17/2025,don't waste your money. the burger is bland and small portions.,0.3252,Positive
118,Dish Soap Dispenser,18.99,588,Kitchen,3/23/2025,"i found the cake to be undercooked, but my partner liked theirs.",0.5719,Positive
119,Kids' Art Supplies Kit,29.99,361,Toys,9/30/2025,a hidden gem! best pizza i have had in a long time.,0.6696,Positive
120,Bird Feeder,24.99,820,Outdoor,01-03-2025,don't waste your money. the cake is cold and small portions.,0.3252,Positive
121,Kitchen Knife Sharpening System,39.99,1026,Kitchen,05-02-2025,absolutely loved it! the burger was amazing.,0.8513,Positive
122,Sweet Chili Dipping Sauce,2.99,0,Food - Condiments,12-02-2025,"everything was flavorful, from the burger to the drinks.",0.0,Neutral
123,Collapsible Colander,14.99,33,Kitchen,11/17/2025,"the staff was slow, but the cake was surprisingly fantastic.",0.8271,Positive
124,Digital Photo Frame,79.99,1477,Home,11/21/2025,"the staff was slow, but the ramen was surprisingly delicious.",0.8338,Positive
125,Spicy Thai Noodles,1.99,859,Food - Frozen Meals,01-10-2025,worst experience ever. the waiter was forgetful and the pizza was greasy.,-0.7351,Negative
126,Car Diagnostic Scanner,49.99,345,Automotive,08-04-2025,i was disappointed with the sandwich. it tasted salty.,-0.4767,Negative
127,Chili Powder,2.09,1034,Food - Spices,4/13/2025,the steak was fresh and the service was quick. highly recommend!,0.6581,Positive
128,Dark Chocolate Almond Butter Cups,4.99,272,Food - Snacks,1/18/2025,"i found the fries to be disappointing, but my partner liked theirs.",0.3818,Positive
129,Black Bean Soup,3.49,70,Food - Soups,4/17/2025,worst experience ever. the waiter was inattentive and the sandwich was salty.,-0.6249,Negative
130,Yoga Mat Carrier,12.99,1077,Fitness,1/30/2025,don't waste your money. the pizza is overpriced and small portions.,0.3252,Positive
131,Pasta Portion Control Measure,9.99,100,Kitchen,5/20/2025,"great atmosphere, but the ramen was just okay.",0.5994,Positive
132,Zesty Cilantro Lime Dressing,3.29,71,Food - Condiments,1/13/2025,worst experience ever. the waiter was inattentive and the salad was bland.,-0.6249,Negative
133,Cocktail Shaker and Mixing Glass Set,39.99,1653,Kitchen,5/16/2025,don't waste your money. the sandwich is stale and small portions.,0.3252,Positive
134,Mobile Workbench,199.99,13,Tools,8/13/2025,i was disappointed with the sandwich. it tasted stale.,-0.4767,Negative
135,Wireless Car Charger,24.99,6,Automotive,08-06-2025,"everything was delicious, from the ramen to the drinks.",0.5719,Positive
136,Teriyaki Chicken Stir-Fry,6.99,1563,Food - Frozen Foods,04-09-2025,"service was attentive, but the food took too long to arrive.",0.0,Neutral
