product_id,product_name,price,stock,category,date,review_text
1,Coconut Curry Sauce,3.89,13.0,Food - Sauces,1/11/2025,I was disappointed with the pasta. It tasted terrible.
2,Coconut Yogurt,3.89,24.0,Food - Dairy Alternatives,1/10/2025,The soup was perfect and the service was polite. Highly recommend!
3,Thyme,2.49,266.0,Food - Fresh Produce,8/27/2025,Worst experience ever. The waiter was forgetful and the tacos was stale.
4,Blue Corn Tortilla Chips,3.49,7.0,Food - Snacks,6/4/2025,Absolutely loved it! The salad was fresh.
5,Vegan chocolate chip cookies,4.79,416.0,Food - Bakery,7/9/2025,"Service was polite, but the food took too long to arrive."
6,Knitted Infinity Scarf,29.99,115.0,Clothing - Accessories,12/6/2025,"Service was friendly, but the food took too long to arrive."
7,Fitness Jump Rope with LCD Counter,15.99,0.0,Fitness,10/10/2025,I was disappointed with the steak. It tasted cold.
8,Multi-Tool,39.99,703.0,Outdoor,3/15/2025,The curry was fresh and the service was quick. Highly recommend!
9,Self-Cleaning Water Bottle,49.99,923.0,Fitness,10/29/2025,"I found the cake to be salty, but my partner liked theirs."
10,Marinated Artichokes,3.79,5587.0,Food - Vegetables,11/27/2025,Quick delivery and the sandwich was still hot and fantastic.
11,Sriracha Hot Chili Sauce,2.99,85.0,Food - Condiments,2/15/2025,"Great atmosphere, but the fries was just okay."
12,Chicken Broth,2.49,660.0,Food - Canned Goods,11/21/2025,"The staff was forgetful, but the coffee was surprisingly amazing."
13,Ramen Noodle Soup Cups,1.29,2940.0,Food - Prepared Meals,2/25/2025,"Everything was excellent, from the burger to the drinks."
14,Insulated Sport Tumbler,22.99,260.0,Fitness,11/11/2025,"Great atmosphere, but the burger was just okay."
15,Solar Charger,39.99,745.0,Electronics,9/7/2025,"I found the fries to be salty, but my partner liked theirs."
16,Chocolate Fudge Brownie Mix,2.99,5741.0,Food - Baking,8/31/2025,Absolutely loved it! The coffee was fresh.
17,Wrist Support Brace,19.99,1646.0,Health,2/10/2025,"Service was friendly, but the food took too long to arrive."
18,Kale Salad Kit,4.99,107.0,Food - Salads,3/4/2025,"I found the pizza to be salty, but my partner liked theirs."
19,Self-Watering Planter,24.99,0.0,Garden,2/24/2025,I was disappointed with the burger. It tasted undercooked.
20,Apple Pie Filling,3.49,66.0,Food - Canned Goods,5/2/2025,Worst experience ever. The waiter was slow and the steak was salty.
21,Frozen Broccoli,2.49,674.0,Food - Frozen,7/31/2025,Don't waste your money. The cake is bland and small portions.
22,Canvas High-Top Sneakers,49.99,50.0,Clothing - Footwear,8/28/2025,"The staff was forgetful, but the tacos was surprisingly mouth-watering."
23,Active Racerback Tank,24.99,311.0,Clothing - Tops,12/15/2025,Quick delivery and the tacos was still hot and amazing.
24,Balsamic Vinaigrette,2.69,2126.0,Food - Dressings,4/22/2025,Worst experience ever. The waiter was inattentive and the pasta was undercooked.
25,Turmeric Ginger Tea,3.29,135.0,Food - Beverages,10/31/2025,Worst experience ever. The waiter was inattentive and the tacos was overpriced.
26,Stainless Steel Cutlery Set,29.99,38.0,Kitchen,9/17/2025,Absolutely loved it! The cake was delicious.
27,Collapsible Storage Crates,18.99,1314.0,Home,7/25/2025,Worst experience ever. The waiter was unprofessional and the cake was cold.
28,Children's Educational Workbook,12.99,364.0,Books,8/11/2025,"Everything was perfect, from the tacos to the drinks."
29,Vegetable Samosas,4.99,7130.0,Food - Frozen,8/14/2025,Don't waste your money. The cake is cold and small portions.
30,Vegan Tacos,7.49,128.0,Food - Frozen Foods,6/30/2025,Absolutely loved it! The sandwich was fresh.
31,Electric Griddle with Removable Plates,59.99,138.0,Kitchen,1/21/2025,Worst experience ever. The waiter was unprofessional and the steak was disappointing.
32,Mini Hand Gesture Drone,29.99,2661.0,Toys,12/22/2024,"I found the cake to be stale, but my partner liked theirs."
33,Egg Noodles,2.29,909.0,Food - Grains,11/1/2025,"Service was friendly, but the food took too long to arrive."
34,Portable Solar Generator,399.99,30.0,Outdoor,9/10/2025,I was disappointed with the curry. It tasted stale.
35,Tortilla Chips,2.99,54.0,Food - Snacks,3/28/2025,"Service was quick, but the food took too long to arrive."
36,Wireless Charging Station,39.99,8.0,Electronics,8/23/2025,"Great atmosphere, but the soup was just okay."
37,Magic Color-Changing Mug,14.99,4735.0,Kitchen,6/6/2025,"Everything was perfect, from the burger to the drinks."
38,Dark Chocolate Bars,2.99,3734.0,Food - Snacks,10/23/2025,Don't waste your money. The coffee is stale and small portions.
39,Portable Charcoal Grill,89.99,3263.0,Outdoor,6/26/2025,The fries was fresh and the service was friendly. Highly recommend!
40,Black Olives,1.99,3290.0,Food - Canned Goods,11/29/2025,Quick delivery and the tacos was still hot and mouth-watering.
41,Bock Beer Mustard,2.29,2021.0,Food - Condiments,1/26/2025,"Great atmosphere, but the burger was just okay."
42,Yoga Mat Carrier,12.99,1907.0,Fitness,6/19/2025,The sandwich was amazing and the service was attentive. Highly recommend!
43,Ranch Dressing,2.59,435.0,Food - Condiments,1/21/2025,"Great atmosphere, but the salad was just okay."
44,Winter Knit Beanie,14.99,7332.0,Clothing,4/8/2025,"The staff was slow, but the coffee was surprisingly amazing."
45,Herbal Tea Set,19.99,100.0,Food,4/12/2025,Absolutely loved it! The pizza was flavorful.
46,Hot Salsa,2.29,1182.0,Food - Dips,8/16/2025,I was disappointed with the ramen. It tasted stale.
47,Sweet Potato Tots,4.29,2797.0,Food - Frozen Foods,10/14/2025,"Everything was fantastic, from the tacos to the drinks."
48,Vegetable Spring Rolls,6.49,164.0,Food - Frozen Foods,3/16/2025,Absolutely loved it! The burger was delicious.
49,Portable Electric Fan,24.99,1646.0,Home,4/23/2025,"Great atmosphere, but the ramen was just okay."
50,Oats,3.29,0.0,Food - Grains,2/12/2025,Absolutely loved it! The coffee was flavorful.
51,Coffee Grinder,39.99,305.0,Kitchen,10/8/2025,Absolutely loved it! The coffee was amazing.
52,Garlic Parmesan Wings,8.99,825.0,Food - Frozen Foods,3/17/2025,"Service was quick, but the food took too long to arrive."
53,Vegetarian Stuffed Peppers,4.99,0.0,Food - Prepared Foods,2/12/2025,"Service was polite, but the food took too long to arrive."
54,Pepper Jack Cheese Slices,3.49,353.0,Food - Dairy,5/29/2025,Absolutely loved it! The tacos was delicious.
55,Magnetic Chess Set,19.99,374.0,Toys,4/23/2025,"Everything was mouth-watering, from the salad to the drinks."
56,Wall Planner,19.99,9.0,Office,8/14/2025,"Service was friendly, but the food took too long to arrive."
57,DIY Candle Making Kit,22.99,6.0,Crafts,10/19/2025,Worst experience ever. The waiter was unprofessional and the pasta was terrible.
58,Faux Leather Leggings,49.99,164.0,Clothing - Pants,5/11/2025,I was disappointed with the tacos. It tasted salty.
59,Lemon Herb Quinoa,3.49,927.0,Food - Grains,2/1/2025,Quick delivery and the coffee was still hot and flavorful.
60,Mini Air Purifier,49.99,694.0,Health,12/21/2024,The burger was amazing and the service was welcoming. Highly recommend!
61,Peach Salsa,3.29,1430.0,Food - Dips,9/26/2025,Quick delivery and the tacos was still hot and perfect.
62,Oven Mitts,15.99,76.0,Kitchen,4/25/2025,"The staff was rude, but the cake was surprisingly mouth-watering."
63,Hair Dryer,39.99,597.0,Beauty,7/26/2025,"Great atmosphere, but the sandwich was just okay."
64,Almond Butter Cups,3.29,26.0,Food - Snacks,2/11/2025,"I found the curry to be greasy, but my partner liked theirs."
65,Tomatillo Salsa,3.29,160.0,Food - Condiments,12/21/2024,"Service was friendly, but the food took too long to arrive."
66,Garlic Butter Sauce,3.59,670.0,Food - Condiments,2/11/2025,Don't waste your money. The ramen is cold and small portions.
67,Non-Stick Crepe Pan,29.99,118.0,Kitchen,3/6/2025,Don't waste your money. The coffee is stale and small portions.
68,Gardening Fairy Figurines,14.99,1587.0,Garden,4/3/2025,"I found the tacos to be disappointing, but my partner liked theirs."
69,Orange Ginger Vinaigrette,3.99,770.0,Food - Condiments,8/8/2025,"The staff was forgetful, but the ramen was surprisingly excellent."
70,Italian Meatballs,8.49,12.0,Food - Meat,7/19/2025,"The staff was forgetful, but the coffee was surprisingly amazing."
71,Magnetic Phone Car Mount,14.99,3.0,Automotive,4/5/2025,"Great atmosphere, but the sandwich was just okay."
72,Handheld Vacuum,79.99,220.0,Home Appliances,4/8/2025,A hidden gem! Best ramen I have had in a long time.
73,Teriyaki Sauce,2.99,1010.0,Food - Condiments,1/12/2025,A hidden gem! Best fries I have had in a long time.
74,Handheld Shower Head,34.99,2223.0,Bathroom,10/18/2025,I was disappointed with the soup. It tasted bland.
75,Chocolate Protein Powder,24.99,347.0,Food - Supplements,11/17/2025,"I found the burger to be salty, but my partner liked theirs."
76,Low-Fat Yogurt,3.29,1477.0,Food - Dairy,9/2/2025,"The staff was slow, but the salad was surprisingly mouth-watering."
77,Maple Syrup,6.99,0.0,Food - Condiments,3/5/2025,"Everything was mouth-watering, from the burger to the drinks."
78,Pet Travel Bowl,10.99,3707.0,Pets,11/18/2025,"I found the soup to be salty, but my partner liked theirs."
79,Sweet Potato Chips,2.99,4452.0,Food - Snacks,1/28/2025,Worst experience ever. The waiter was unprofessional and the soup was terrible.
80,Mesh Sports Leggings,39.99,104.0,Clothing - Activewear,5/20/2025,"Everything was delicious, from the tacos to the drinks."
81,Luxury Bath Robe,49.99,75.0,Clothing,10/12/2025,"Everything was excellent, from the coffee to the drinks."
82,Spiralizer,22.99,170.0,Kitchen,11/22/2025,Worst experience ever. The waiter was forgetful and the fries was bland.
83,Fettuccine Alfredo Dinner Kit,5.49,117.0,Food - Prepared Meals,8/5/2025,"Great atmosphere, but the soup was just okay."
84,Over-Ear Headphones,59.99,0.0,Audio,1/10/2025,"Everything was delicious, from the salad to the drinks."
85,Stick Vacuums Cleaner,129.99,1301.0,Home Appliances,8/17/2025,"Great atmosphere, but the ramen was just okay."
86,Chickpea Salad Deluxe,4.29,760.0,Food - Produce,8/20/2025,Quick delivery and the sushi was still hot and fantastic.
87,Insulated Wine Tote,24.99,59.0,Accessories,4/19/2025,"Great atmosphere, but the burger was just okay."
88,Cranberry Lime Sparkling Water,1.5,2317.0,Food - Beverages,1/19/2025,"I found the soup to be disappointing, but my partner liked theirs."
89,Low-Fat Cottage Cheese,2.99,1213.0,Food - Dairy,2/20/2025,The coffee was mouth-watering and the service was attentive. Highly recommend!
90,Roasted Vegetable Medley,3.99,1476.0,Food - Frozen Foods,9/27/2025,Don't waste your money. The tacos is cold and small portions.
91,Mushroom Soup (canned),2.49,325.0,Food - Canned Goods,7/27/2025,"I found the fries to be terrible, but my partner liked theirs."
92,Electric Air Pump,29.99,505.0,Outdoor,7/23/2025,"Service was quick, but the food took too long to arrive."
93,Mango Chilli Sauce,3.99,1063.0,Food - Condiments,12/8/2025,"I found the ramen to be overpriced, but my partner liked theirs."
94,Portable Water Filter,29.99,43.0,Outdoor,7/25/2025,A hidden gem! Best fries I have had in a long time.
95,Luxury Rolling Makeup Case,99.99,30.0,Beauty,12/17/2024,Quick delivery and the cake was still hot and perfect.
96,Baked Mac and Cheese,5.99,112.0,Food - Frozen Foods,12/9/2025,Worst experience ever. The waiter was slow and the steak was overpriced.
97,Dark Chocolate Covered Almonds,7.19,1670.0,Food - Snacks,10/12/2025,"The staff was slow, but the salad was surprisingly mouth-watering."
98,Fitness Jump Rope with LCD Counter,15.99,633.0,Fitness,3/25/2025,Don't waste your money. The cake is greasy and small portions.
99,Wrist Support Brace,19.99,256.0,Health,10/21/2025,"Service was quick, but the food took too long to arrive."
100,Organic Black Rice,3.59,6070.0,Food - Grains,6/10/2025,"The staff was inattentive, but the salad was surprisingly delicious."
101,Peanut Butter Protein Balls,5.29,3318.0,Food - Snacks,3/1/2025,"Great atmosphere, but the steak was just okay."
102,Body Pillow Case,14.99,669.0,Home,12/24/2024,A hidden gem! Best fries I have had in a long time.
103,Dishwasher Safe Cutting Board,22.99,784.0,Kitchen,11/18/2025,Worst experience ever. The waiter was slow and the pasta was bland.
104,Bluetooth Sleep Headphones,29.99,50.0,Audio,2/21/2025,"Everything was amazing, from the coffee to the drinks."
105,Cacao Nibs,6.49,870.0,Food - Baking,5/28/2025,Don't waste your money. The ramen is cold and small portions.
106,Ice Cream Scoop,12.99,570.0,Kitchen,11/25/2025,"Great atmosphere, but the pizza was just okay."
107,Children's Educational Puzzle,19.99,52.0,Toys,2/1/2025,A hidden gem! Best fries I have had in a long time.
108,Sweet Potato Tots,4.29,2096.0,Food - Frozen Foods,8/29/2025,"I found the steak to be greasy, but my partner liked theirs."
109,Digital Food Scale,22.99,69.0,Kitchen,4/11/2025,"I found the salad to be disappointing, but my partner liked theirs."
110,Bamboo Utensil Set,14.99,3206.0,Kitchen,8/20/2025,"I found the tacos to be bland, but my partner liked theirs."
111,Multicolored LED Strip Lights,29.99,726.0,Home,12/10/2025,"Everything was fresh, from the pasta to the drinks."
112,Almond Flour Brownies,5.99,5507.0,Food - Baking,8/1/2025,Absolutely loved it! The tacos was flavorful.
113,Basil-infused Olive Oil,6.99,31.0,Food - Cooking Oil,11/28/2025,"Everything was flavorful, from the soup to the drinks."
114,Cordless Electric Screwdriver,39.99,49.0,Tools,5/6/2025,"Great atmosphere, but the fries was just okay."
115,Infrared Thermometer Gun,29.99,16.0,Health,2/26/2025,Quick delivery and the steak was still hot and perfect.
116,Fried Rice,4.29,584.0,Food - Frozen Foods,11/2/2025,"I found the pasta to be stale, but my partner liked theirs."
117,Peach Mango Smoothie,3.49,1592.0,Food - Beverages,1/17/2025,Don't waste your money. The burger is bland and small portions.
118,Dish Soap Dispenser,18.99,588.0,Kitchen,3/23/2025,"I found the cake to be undercooked, but my partner liked theirs."
