productid,customer_review
1,I was disappointed with the pasta. It tasted terrible.
2,The soup was perfect and the service was polite. Highly recommend!
3,Worst experience ever. The waiter was forgetful and the tacos was stale.
4,Absolutely loved it! The salad was fresh.
5,"Service was polite, but the food took too long to arrive."
6,"Service was friendly, but the food took too long to arrive."
7,I was disappointed with the steak. It tasted cold.
8,The curry was fresh and the service was quick. Highly recommend!
9,"I found the cake to be salty, but my partner liked theirs."
10,Quick delivery and the sandwich was still hot and fantastic.
11,"Great atmosphere, but the fries was just okay."
12,"The staff was forgetful, but the coffee was surprisingly amazing."
13,"Everything was excellent, from the burger to the drinks."
14,"Great atmosphere, but the burger was just okay."
15,"I found the fries to be salty, but my partner liked theirs."
16,Absolutely loved it! The coffee was fresh.
17,"Service was friendly, but the food took too long to arrive."
18,"I found the pizza to be salty, but my partner liked theirs."
19,I was disappointed with the burger. It tasted undercooked.
20,Worst experience ever. The waiter was slow and the steak was salty.
21,Don't waste your money. The cake is bland and small portions.
22,"The staff was forgetful, but the tacos was surprisingly mouth-watering."
23,Quick delivery and the tacos was still hot and amazing.
24,Worst experience ever. The waiter was inattentive and the pasta was undercooked.
25,Worst experience ever. The waiter was inattentive and the tacos was overpriced.
26,Absolutely loved it! The cake was delicious.
27,Worst experience ever. The waiter was unprofessional and the cake was cold.
28,"Everything was perfect, from the tacos to the drinks."
29,Don't waste your money. The cake is cold and small portions.
30,Absolutely loved it! The sandwich was fresh.
31,Worst experience ever. The waiter was unprofessional and the steak was disappointing.
32,"I found the cake to be stale, but my partner liked theirs."
33,"Service was friendly, but the food took too long to arrive."
34,I was disappointed with the curry. It tasted stale.
35,"Service was quick, but the food took too long to arrive."
36,"Great atmosphere, but the soup was just okay."
37,"Everything was perfect, from the burger to the drinks."
38,Don't waste your money. The coffee is stale and small portions.
39,The fries was fresh and the service was friendly. Highly recommend!
40,Quick delivery and the tacos was still hot and mouth-watering.
41,"Great atmosphere, but the burger was just okay."
42,The sandwich was amazing and the service was attentive. Highly recommend!
43,"Great atmosphere, but the salad was just okay."
44,"The staff was slow, but the coffee was surprisingly amazing."
45,Absolutely loved it! The pizza was flavorful.
46,I was disappointed with the ramen. It tasted stale.
47,"Everything was fantastic, from the tacos to the drinks."
48,Absolutely loved it! The burger was delicious.
49,"Great atmosphere, but the ramen was just okay."
50,Absolutely loved it! The coffee was flavorful.
51,Absolutely loved it! The coffee was amazing.
52,"Service was quick, but the food took too long to arrive."
53,"Service was polite, but the food took too long to arrive."
54,Absolutely loved it! The tacos was delicious.
55,"Everything was mouth-watering, from the salad to the drinks."
56,"Service was friendly, but the food took too long to arrive."
57,Worst experience ever. The waiter was unprofessional and the pasta was terrible.
58,I was disappointed with the tacos. It tasted salty.
59,Quick delivery and the coffee was still hot and flavorful.
60,The burger was amazing and the service was welcoming. Highly recommend!
61,Quick delivery and the tacos was still hot and perfect.
62,"The staff was rude, but the cake was surprisingly mouth-watering."
63,"Great atmosphere, but the sandwich was just okay."
64,"I found the curry to be greasy, but my partner liked theirs."
65,"Service was friendly, but the food took too long to arrive."
66,Don't waste your money. The ramen is cold and small portions.
67,Don't waste your money. The coffee is stale and small portions.
68,"I found the tacos to be disappointing, but my partner liked theirs."
69,"The staff was forgetful, but the ramen was surprisingly excellent."
70,"The staff was forgetful, but the coffee was surprisingly amazing."
71,"Great atmosphere, but the sandwich was just okay."
72,A hidden gem! Best ramen I have had in a long time.
73,A hidden gem! Best fries I have had in a long time.
74,I was disappointed with the soup. It tasted bland.
75,"I found the burger to be salty, but my partner liked theirs."
76,"The staff was slow, but the salad was surprisingly mouth-watering."
77,"Everything was mouth-watering, from the burger to the drinks."
78,"I found the soup to be salty, but my partner liked theirs."
79,Worst experience ever. The waiter was unprofessional and the soup was terrible.
80,"Everything was delicious, from the tacos to the drinks."
81,"Everything was excellent, from the coffee to the drinks."
82,Worst experience ever. The waiter was forgetful and the fries was bland.
83,"Great atmosphere, but the soup was just okay."
84,"Everything was delicious, from the salad to the drinks."
85,"Great atmosphere, but the ramen was just okay."
86,Quick delivery and the sushi was still hot and fantastic.
87,"Great atmosphere, but the burger was just okay."
88,"I found the soup to be disappointing, but my partner liked theirs."
89,The coffee was mouth-watering and the service was attentive. Highly recommend!
90,Don't waste your money. The tacos is cold and small portions.
91,"I found the fries to be terrible, but my partner liked theirs."
92,"Service was quick, but the food took too long to arrive."
93,"I found the ramen to be overpriced, but my partner liked theirs."
94,A hidden gem! Best fries I have had in a long time.
95,Quick delivery and the cake was still hot and perfect.
96,Worst experience ever. The waiter was slow and the steak was overpriced.
97,"The staff was slow, but the salad was surprisingly mouth-watering."
98,Don't waste your money. The cake is greasy and small portions.
99,"Service was quick, but the food took too long to arrive."
